iter	Passed	Remaining
402	9326	2244
403	9345	2220
404	9364	2196
405	9382	2172
406	9404	2149
407	9421	2124
408	9439	2100
409	9456	2075
410	9474	2051
411	9493	2027
412	9510	2003
413	9529	1979
414	9548	1955
415	9566	1931
416	9584	1907
417	9603	1883
418	9622	1860
419	9641	1836
420	9661	1813
421	9679	1789
422	9697	1765
423	9714	1741
424	9731	1717
425	9749	1693
426	9766	1669
427	9783	1645
428	9800	1622
429	9818	1598
430	9834	1574
431	9852	1550
432	9869	1527
433	9886	1503
434	9903	1479
435	9926	1457
436	9943	1433
437	9960	1409
438	9977	1386
439	9994	1362
440	10011	1339
441	10028	1315
442	10045	1292
443	10063	1269
444	10079	1245
445	10095	1222
446	10112	1199
447	10129	1175
448	10146	1152
449	10162	1129
450	10179	1106
451	10196	1082
452	10213	1059
453	10229	1036
454	10245	1013
455	10263	990
456	10281	967
457	10297	944
458	10314	921
459	10330	898
460	10350	875
461	10368	852
462	10389	830
463	10410	807
464	10431	785
465	10453	762
466	10475	740
467	10496	717
468	10518	695
469	10539	672
470	10555	649
471	10572	627
472	10588	604
473	10605	581
474	10627	559
475	10649	536
476	10670	514
477	10687	491
478	10704	469
479	10720	446
480	10737	424
481	10754	401
482	10770	379
483	10786	356
484	10804	334
485	10821	311
486	10838	289
487	10855	266
488	10873	244
489	10890	222
490	10907	199
491	10923	177
492	10941	155
493	10958	133
494	10974	110
495	10991	88
496	11007	66
497	11024	44
498	11041	22
499	11058	0
