iter	Logloss
0	0.594718599
1	0.4958874956
2	0.4363491188
3	0.3940505631
4	0.3505701776
5	0.3207967734
6	0.2949668004
7	0.2653125355
8	0.2447520936
9	0.2220676268
10	0.2062481872
11	0.1942114404
12	0.1824762691
13	0.1689678583
14	0.1587554992
15	0.1541285608
16	0.1451081709
17	0.1397619291
18	0.135058566
19	0.1286657549
20	0.1231812655
21	0.1187033623
22	0.1128982366
23	0.1076752072
24	0.1022795131
25	0.09977522667
26	0.09851791723
27	0.09473336255
28	0.09201594811
29	0.08990470331
30	0.0867489825
31	0.08567645007
32	0.08452684032
33	0.08315850534
34	0.08184462665
35	0.07968182517
36	0.07802087783
37	0.07620111823
38	0.07459317496
39	0.0733484584
40	0.07138050449
41	0.06993816546
42	0.06750619441
43	0.06543832063
44	0.06343010752
45	0.06133845624
46	0.05983041378
47	0.0588235902
48	0.05770959721
49	0.05690931301
50	0.05582580176
51	0.05477671503
52	0.05399038976
53	0.05235140391
54	0.05072916528
55	0.04992539218
56	0.0490195526
57	0.04811606581
58	0.0471972484
59	0.04618647487
60	0.04553200357
61	0.04487782689
62	0.04366883584
63	0.04302917541
64	0.04203643308
65	0.04124052635
66	0.04042734455
67	0.03986057195
68	0.03939384273
69	0.03899917103
70	0.03849713498
71	0.03744051053
72	0.03683924957
73	0.0361689947
74	0.0356356645
75	0.0351028029
76	0.03454661092
77	0.03385526366
78	0.03287764748
79	0.0322996838
80	0.03190219377
81	0.03138839274
82	0.03091252828
83	0.03063827067
84	0.030012466
85	0.02920275203
86	0.02886896193
87	0.02827362931
88	0.02757585799
89	0.02703499101
90	0.0267687319
91	0.02647611158
92	0.0259009204
93	0.02532626628
94	0.0250859113
95	0.02449668638
96	0.02418404247
97	0.02366573054
98	0.02339667341
99	0.02314286603
100	0.02272231385
101	0.02245159294
102	0.02208076512
103	0.02166316888
104	0.02127373876
105	0.02086973214
106	0.02049188714
107	0.02027907971
108	0.01987507445
109	0.01960938231
110	0.0194640555
111	0.01921484314
112	0.01900287856
113	0.01880704921
114	0.01858827781
115	0.0182733092
116	0.01802620791
117	0.01777304569
118	0.01761306548
119	0.01723350106
